profile,split,attempted,exact_success_rate,average_reward
root,1,60,0.35,0.7738333333333334
root,2,53,0.4528301886792453,0.7984905660377358
root,3,60,0.43333333333333335,0.8233333333333334
root,4,27,0.48148148148148145,0.857037037037037
strict,1,60,0.31666666666666665,0.7408333333333333
strict,2,53,0.24528301886792453,0.6690566037735849
strict,3,60,0.35,0.776
strict,4,27,0.4074074074074074,0.8362962962962963
user,1,60,0.31666666666666665,0.7403333333333334
user,2,53,0.24528301886792453,0.6688679245283019
user,3,60,0.35,0.7815
user,4,27,0.4444444444444444,0.8433333333333334
