command_set_id,split,task_index,root_reward,strict_reward,reward_delta,root_bucket,strict_bucket
f6ff84e7aae6,1,0,1.0,1.0,0.0,exact_success,exact_success
f6ff84e7aae6,1,1,0.67,0.67,0.0,near_miss,near_miss
f6ff84e7aae6,1,2,0.76,0.76,0.0,missing_path,missing_path
f6ff84e7aae6,1,3,0.67,0.67,0.0,near_miss,near_miss
f6ff84e7aae6,1,4,0.67,0.67,0.0,near_miss,near_miss
f6ff84e7aae6,1,5,0.67,0.67,0.0,near_miss,near_miss
f6ff84e7aae6,1,6,0.79,0.79,0.0,near_miss,near_miss
f6ff84e7aae6,1,7,0.6900000000000001,0.6900000000000001,0.0,syntax_or_parse,syntax_or_parse
f6ff84e7aae6,1,8,0.67,0.34,0.33,near_miss,semantic_miss
f6ff84e7aae6,1,9,0.67,0.67,0.0,near_miss,near_miss
f6ff84e7aae6,1,10,0.67,0.67,0.0,near_miss,near_miss
f6ff84e7aae6,1,11,0.39,0.39,0.0,missing_path,missing_path
f6ff84e7aae6,1,12,0.39,0.39,0.0,missing_path,missing_path
f6ff84e7aae6,1,13,0.67,0.67,0.0,near_miss,near_miss
f6ff84e7aae6,1,14,0.67,0.67,0.0,near_miss,near_miss
f6ff84e7aae6,1,15,0.67,0.67,0.0,near_miss,near_miss
f6ff84e7aae6,1,16,0.68,0.68,0.0,missing_path,missing_path
f6ff84e7aae6,1,17,0.67,0.67,0.0,syntax_or_parse,syntax_or_parse
f6ff84e7aae6,1,18,0.72,0.39,0.32999999999999996,near_miss,permission_denied
f6ff84e7aae6,1,19,0.72,0.34,0.37999999999999995,near_miss,permission_denied
f6ff84e7aae6,1,20,1.0,1.0,0.0,exact_success,exact_success
f6ff84e7aae6,1,21,0.67,0.67,0.0,near_miss,permission_denied
f6ff84e7aae6,1,22,1.0,1.0,0.0,exact_success,exact_success
f6ff84e7aae6,1,23,0.67,0.67,0.0,near_miss,near_miss
f6ff84e7aae6,1,24,0.67,0.67,0.0,near_miss,near_miss
f6ff84e7aae6,1,25,1.0,1.0,0.0,exact_success,exact_success
f6ff84e7aae6,1,26,1.0,1.0,0.0,exact_success,exact_success
f6ff84e7aae6,1,27,0.34,0.34,0.0,semantic_miss,semantic_miss
f6ff84e7aae6,1,28,1.0,1.0,0.0,exact_success,exact_success
f6ff84e7aae6,1,29,1.0,1.0,0.0,exact_success,exact_success
f6ff84e7aae6,1,30,0.67,0.67,0.0,near_miss,permission_denied
f6ff84e7aae6,1,31,0.67,0.67,0.0,near_miss,near_miss
f6ff84e7aae6,1,32,1.0,1.0,0.0,exact_success,exact_success
f6ff84e7aae6,1,33,1.0,1.0,0.0,exact_success,exact_success
f6ff84e7aae6,1,34,1.0,1.0,0.0,exact_success,exact_success
f6ff84e7aae6,1,35,1.0,1.0,0.0,exact_success,exact_success
f6ff84e7aae6,1,36,0.67,0.67,0.0,near_miss,near_miss
f6ff84e7aae6,1,37,0.67,0.67,0.0,syntax_or_parse,syntax_or_parse
f6ff84e7aae6,1,38,0.67,0.67,0.0,near_miss,near_miss
f6ff84e7aae6,1,39,0.67,0.67,0.0,near_miss,near_miss
f6ff84e7aae6,1,40,1.0,1.0,0.0,exact_success,exact_success
f6ff84e7aae6,1,41,0.67,0.67,0.0,near_miss,near_miss
f6ff84e7aae6,1,42,1.0,1.0,0.0,exact_success,exact_success
f6ff84e7aae6,1,43,0.39,0.67,-0.28,semantic_miss,permission_denied
f6ff84e7aae6,1,44,1.0,0.39,0.61,exact_success,permission_denied
f6ff84e7aae6,1,45,0.34,0.45,-0.10999999999999999,semantic_miss,permission_denied
f6ff84e7aae6,1,46,0.34,0.42000000000000004,-0.08000000000000002,semantic_miss,permission_denied
f6ff84e7aae6,1,47,0.67,0.67,0.0,near_miss,near_miss
f6ff84e7aae6,1,48,0.67,0.67,0.0,near_miss,near_miss
f6ff84e7aae6,1,49,0.67,0.67,0.0,near_miss,near_miss
f6ff84e7aae6,1,50,0.67,0.67,0.0,near_miss,near_miss
f6ff84e7aae6,1,51,0.67,0.67,0.0,near_miss,near_miss
f6ff84e7aae6,1,52,0.8700000000000001,0.8700000000000001,0.0,near_miss,near_miss
f6ff84e7aae6,1,53,1.0,1.0,0.0,exact_success,exact_success
f6ff84e7aae6,1,54,1.0,1.0,0.0,exact_success,exact_success
f6ff84e7aae6,1,55,0.67,0.67,0.0,syntax_or_parse,syntax_or_parse
f6ff84e7aae6,1,56,1.0,1.0,0.0,exact_success,exact_success
f6ff84e7aae6,1,57,0.39,0.39,0.0,missing_path,missing_path
f6ff84e7aae6,1,58,1.0,1.0,0.0,exact_success,exact_success
f6ff84e7aae6,1,59,0.93,0.93,0.0,near_miss,near_miss
00da826ef10e,2,0,1.0,1.0,0.0,exact_success,exact_success
00da826ef10e,2,1,1.0,1.0,0.0,exact_success,exact_success
00da826ef10e,2,2,1.0,1.0,0.0,exact_success,exact_success
00da826ef10e,2,3,0.9,0.9,0.0,near_miss,near_miss
00da826ef10e,2,4,0.77,0.77,0.0,permission_denied,permission_denied
00da826ef10e,2,5,0.67,0.34,0.33,near_miss,permission_denied
00da826ef10e,2,6,0.67,0.67,0.0,near_miss,near_miss
00da826ef10e,2,7,1.0,1.0,0.0,exact_success,exact_success
00da826ef10e,2,8,1.0,0.34,0.6599999999999999,exact_success,permission_denied
00da826ef10e,2,9,0.67,0.67,0.0,missing_path,missing_path
00da826ef10e,2,10,0.67,0.67,0.0,near_miss,near_miss
00da826ef10e,2,11,0.7000000000000001,0.7000000000000001,0.0,near_miss,near_miss
00da826ef10e,2,12,0.7000000000000001,0.7000000000000001,0.0,near_miss,near_miss
00da826ef10e,2,13,0.67,0.67,0.0,near_miss,near_miss
00da826ef10e,2,14,1.0,0.34,0.6599999999999999,exact_success,permission_denied
00da826ef10e,2,15,1.0,0.39,0.61,exact_success,permission_denied
00da826ef10e,2,16,1.0,0.34,0.6599999999999999,exact_success,permission_denied
00da826ef10e,2,17,1.0,1.0,0.0,exact_success,exact_success
00da826ef10e,2,18,1.0,0.34,0.6599999999999999,exact_success,permission_denied
00da826ef10e,2,19,1.0,0.67,0.32999999999999996,exact_success,permission_denied
00da826ef10e,2,20,1.0,0.39,0.61,exact_success,permission_denied
00da826ef10e,2,21,1.0,0.34,0.6599999999999999,exact_success,permission_denied
00da826ef10e,2,22,0.67,0.67,0.0,syntax_or_parse,syntax_or_parse
00da826ef10e,2,23,0.67,0.67,0.0,near_miss,permission_denied
00da826ef10e,2,24,1.0,0.39,0.61,exact_success,permission_denied
